,AAM (Approach-Avoidance),BDI (Beck Depression),BT (Bartle Types),CEST (Cognitive-Experiential),CMOA (Circumplex of Affect),CS (Clifton Strengths),DISC,DT4 (Dark Tetrad),DTM (Dark Triad),EM (Enneagram),EPM (Eysenck PEN),FFNI (Five-Factor Narcissism),FFNI-SF (Short Form),FSLS (Felder-Silverman Learning),FTM (Four Temperaments),GAD-7 (Anxiety),HEXACO,HSNS (Hypersensitive Narcissism),IPN (Interpersonal),MBTI,MCMI (Millon Clinical),MCMI-N (Narcissism),MMPI,MST (Motivational Systems),NARQ (Narcissistic Admiration/Rivalry),NPI (Narcissistic Personality),OCEAN (Big Five),PAPC,PCT (Personal Construct),PNI (Pathological Narcissism),RFT (Regulatory Focus),RIASEC (Holland Vocational),RIT (Rorschach Inkblot),SCID (DSM Structured Interview),SCM (Social-Cognitive),SDT (Self-Determination),16PF (Cattell),STBV (Schwartz Values),TAT (Thematic Apperception),TCI (Temperament & Character),TEI (Emotional Intelligence),TKI (Thomas-Kilmann Conflict),TMP (Triarchic Psychopathy),WAIS (Intelligence)
MCMI (Millon Clinical),0.7045313908929205,0.8095751929747957,0.6832428584943765,0.679725607944235,0.7109268504027336,0.6687878287026352,0.6958587688912675,0.7693113936760345,0.7419561824085668,0.7494179082146157,0.7813888567837742,0.7979277981587873,0.8040551603394419,0.6656422245623346,0.7330837356431418,0.7715322171652778,0.7043679523213315,0.8293808273625465,0.7751067491981948,0.69897311982903,0.9999999999999999,0.7150457319212608,0.8742099580098087,0.759343432146238,0.727089927357739,0.7378859857458818,0.722117048852525,0.6294163589013376,0.6796893419476384,0.8188757291241666,0.6272894405780677,0.695197939966357,0.5268553145279609,0.8108925344974435,0.7724879773340269,0.5937172234149148,0.7480662490762808,0.6162432572242422,0.4098811248233085,0.7561985158982774,0.53525175001472,0.5029317378264515,0.7650055557101901,0.4940101697682844
MCMI-N (Narcissism),0.6769703721644684,0.7480820303273951,0.8050323596036709,0.7118863147416705,0.6546544368320206,0.7579374488175192,0.7612717406466072,0.8865710712417915,0.8879945996076135,0.8094546477636235,0.7905556375980786,0.9395348683524835,0.8782963197616378,0.7190175583224298,0.7855932041891472,0.6184400623342685,0.7711570097456356,0.8148986345463646,0.9161861571230476,0.779473301348297,0.7150457319212608,0.9999999999999991,0.8100156455312049,0.6364701148495177,0.9253228038986993,0.9644741014478351,0.8066306466727866,0.5284553042121037,0.7163093635080483,0.9066701972715414,0.6595581768745895,0.7694567048373406,0.562972353463228,0.4340408132477701,0.7838822137030418,0.6633481607898162,0.8360063226395584,0.6997822842419966,0.4870724559457297,0.8063599820310147,0.5085466832149308,0.5076018120940365,0.8525411868139872,0.4824108686663198
MMPI,0.7805182795408248,0.9201780370880907,0.8381344093912597,0.7986016946412573,0.8210131294813947,0.7911829584205101,0.7896333482134608,0.8465011269913939,0.8491071082559654,0.846544040359218,0.93260399641704,0.9052581109518778,0.8411754694475257,0.7884160547187787,0.8818275714666873,0.8706627476978354,0.8715662013561897,0.9085730600470462,0.8734315638936924,0.8557854120348543,0.8742099580098087,0.8100156455312049,1.0000000000000004,0.7653118788682121,0.8298592025412876,0.8333149958060243,0.8838739329939835,0.6085635197000798,0.7731577718298758,0.9206379427278006,0.7363484049743974,0.8377857802832259,0.6495949755006607,0.6405626204043584,0.9213336767996965,0.6634344541734691,0.91624358895229,0.704569050774293,0.4725676365642695,0.8981755824962356,0.5399993936793409,0.556982456705091,0.893335954027338,0.545324039564651
MST (Motivational Systems),0.8011165892948715,0.6993733592732078,0.7291347316845325,0.7072319722593283,0.6940593636147391,0.7493050926927702,0.754355452803467,0.6811386849714643,0.6583423966629364,0.805145444323327,0.733543943210916,0.736845294751832,0.788964893775025,0.6788825464928707,0.7262998364849198,0.7317916810587664,0.6971012847188531,0.7462045869865678,0.6773298391649959,0.707959447991629,0.759343432146238,0.6364701148495177,0.7653118788682121,1.000000000000001,0.656993888170664,0.6779081333197021,0.7155808132584836,0.6520881261351714,0.7975293527703281,0.7374821184415369,0.7977375858547138,0.7134527015808441,0.5412857584506442,0.6380388295874911,0.7564852139682198,0.7711012687706863,0.7344560341590061,0.7680018623442724,0.5026909137910224,0.7489726455560424,0.7250638170462481,0.5881255877534347,0.7207556452851945,0.5660704677001849
NARQ (Narcissistic Admiration/Rivalry),0.6916675708228041,0.7658518186281871,0.8560456257026529,0.7004504210011273,0.7100207751340815,0.7838690565961242,0.7803952049730982,0.8876594498210448,0.8497659897630402,0.8191589638335531,0.8285178161462523,0.9215063093157936,0.861301256920378,0.7344643837764253,0.8064286965944675,0.6475379510687397,0.8069662668527354,0.8209297219832353,0.9073673932753817,0.8007001349125058,0.727089927357739,0.9253228038986993,0.8298592025412876,0.656993888170664,1.0000000000000007,0.9161211785672312,0.8384469377685408,0.5448888531894668,0.7462956878519497,0.9205070536613416,0.680076115013818,0.7955152861791747,0.5905939320863878,0.45207013432695675,0.8302340452896235,0.6861209289675014,0.8571693840308822,0.7309972098425853,0.5281703962174357,0.8363309197186758,0.495336750754066,0.525826811134254,0.8608464840603228,0.49523925580541367
NPI (Narcissistic Personality),0.6974697990099329,0.7607853553154559,0.8335217445333654,0.7387289939659987,0.6739395660479195,0.7811926470770686,0.8001764618781791,0.888546372972586,0.8830997209502425,0.8245249035514877,0.8184880049756927,0.9591405441647912,0.8837196549720535,0.7521838989639443,0.825075366706482,0.6462812531462968,0.7825002660003227,0.8329803612948266,0.9113470441586007,0.8099134331210225,0.7378859857458818,0.9644741014478351,0.8333149958060243,0.6779081333197021,0.9161211785672312,1.0000000000000004,0.8250670254965045,0.5424776400189405,0.7473057039751482,0.9158281424425547,0.6736720244618336,0.7993430533413207,0.5585297603701564,0.45804610047821526,0.8170859165710762,0.691039276578016,0.8566929618798822,0.7148898182908365,0.5139122034013512,0.8345520195830216,0.5418972754901822,0.5743236193971782,0.856309602032381,0.48627998902041725
OCEAN (Big Five),0.7550414838472123,0.7960841403553345,0.9149230541832022,0.844369717904291,0.8069038038342944,0.8788005546151882,0.8676997940088151,0.7978723950903988,0.7955471430251635,0.848577814364457,0.9247401158072582,0.8646237914146303,0.7769768226539923,0.8693076255333354,0.9393522529655526,0.755687039446651,0.9542771956738558,0.8117744296930159,0.8352287199518678,0.9456924597358646,0.722117048852525,0.8066306466727866,0.8838739329939835,0.7155808132584836,0.8384469377685408,0.8250670254965045,0.9999999999999997,0.6081309456533747,0.8535760663778305,0.8735789677491276,0.7896366127125584,0.9398764298002945,0.664512432556725,0.49288473306834896,0.9205102499193653,0.7289763258872035,0.9625687850537342,0.7617822410859938,0.45860203183086024,0.9543251698210105,0.5661483999285177,0.5255506909658694,0.8582377013289253,0.5769316351152997
PAPC,0.5520200466348758,0.554821761229053,0.5859202364274001,0.5952059800565633,0.6229295167137203,0.6741209779550971,0.6617190911474111,0.5014047474756866,0.493890897796496,0.6445784901921281,0.6222434706969007,0.5798839353610451,0.5726057612236325,0.640008188697478,0.6502913035310944,0.5372242905480034,0.6142731207324903,0.5655080230914395,0.5275063266807302,0.6216376695347812,0.6294163589013376,0.5284553042121037,0.6085635197000798,0.6520881261351714,0.5448888531894668,0.5424776400189405,0.6081309456533747,0.9999999999999998,0.7617170513195346,0.5884198496148324,0.6329169309491811,0.6640433325925992,0.6407790460734054,0.5980905043949395,0.6376830923202099,0.7171103626309723,0.6244384312064692,0.6994320813947946,0.39090502978419056,0.6167437698292281,0.5679104288490388,0.37180742709737563,0.5296700829768779,0.6148460399283393
PCT (Personal Construct),0.758111946447341,0.7034485404682942,0.8457201720355685,0.8194158563146854,0.7437103958174791,0.9202054951820674,0.8733317060900772,0.6907178642106537,0.6869821103960471,0.8427110231226437,0.8151953345995145,0.786548326593384,0.7359730483785168,0.8563502342566414,0.8673395550077901,0.6686903431079297,0.8278440777329915,0.7068781744524004,0.7208049019721339,0.8739664571198392,0.6796893419476384,0.7163093635080483,0.7731577718298758,0.7975293527703281,0.7462956878519497,0.7473057039751482,0.8535760663778305,0.7617170513195346,0.9999999999999989,0.7803812523576944,0.8512116808386786,0.8888080612778142,0.6894326780190311,0.5389176625139361,0.8441710750198621,0.8929168584280694,0.8616548783802177,0.8795973764549012,0.5270335741158986,0.8640350816742799,0.7240376518648135,0.5552566384233723,0.739087346097779,0.6704016213780495
PNI (Pathological Narcissism),0.7612545069028888,0.8758014513083567,0.8578929625048556,0.7838068970770599,0.7664428623815609,0.8078707164757053,0.7973519429451921,0.9239053899816736,0.908868023380384,0.8599650199408527,0.8886693979207244,0.9597648397554662,0.895129845842785,0.7902475895384423,0.8566933703124635,0.7488344079412177,0.8522904728468658,0.9155439913207806,0.9627479646575517,0.8522934713577162,0.8188757291241666,0.9066701972715414,0.9206379427278006,0.7374821184415369,0.9205070536613416,0.9158281424425547,0.8735789677491276,0.5884198496148324,0.7803812523576944,0.9999999999999987,0.723365539741026,0.8349969230830486,0.628031365474942,0.5284462045842893,0.8836411166438712,0.69845683968637,0.9116905679803492,0.7356260607126801,0.5133097867811581,0.8944950166473815,0.5467455812863361,0.5737214068294483,0.9080422843044385,0.5406184208143029
